VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 128 , J = 64, F=POINT 

1.85613 -0.0930205 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.7661 -9961.77 417.528 -5.49838e+006
1.93043 -0.098887 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.8013 -9981.53 414.984 -5.50929e+006
2.00932 -0.105074 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.5967 -9866.78 407.679 -5.44595e+006
2.09307 -0.1116 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.5652 -9849.12 404.119 -5.43621e+006
2.18195 -0.118485 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.4715 -9796.6 399.884 -5.40722e+006
2.27625 -0.125749 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.3259 -9714.98 394.092 -5.36216e+006
2.37627 -0.133418 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.369 -9739.14 393.534 -5.3755e+006
2.4823 -0.141517 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.217 -9653.93 388.731 -5.32847e+006
2.5947 -0.150068 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.2303 -9661.37 387.115 -5.33258e+006
2.71385 -0.159103 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.1249 -9602.25 383.902 -5.29994e+006
2.8401 -0.16865 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.1578 -9620.7 383.317 -5.31013e+006
2.97387 -0.178743 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0403 -9554.84 380.232 -5.27378e+006
3.11565 -0.189412 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0623 -9567.18 379.36 -5.28059e+006
3.26585 -0.20069 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9947 -9529.23 377.29 -5.25964e+006
3.42495 -0.212615 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0261 -9546.83 377.104 -5.26936e+006
3.5935 -0.22523 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9383 -9497.65 374.946 -5.24221e+006
3.77205 -0.238572 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9609 -9510.29 374.511 -5.24919e+006
3.96122 -0.252688 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.92 -9487.37 373.233 -5.23654e+006
4.16162 -0.267628 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9333 -9494.83 373.315 -5.24065e+006
