VARIABLES = "Xctr", "Yctr", "xSds", "ySds", "xSnorm","ySnorm", "xWds", "yWds","xWnorm", "yWnorm", "xInorm", "yInorm", "xJnorm", "yJnorm" 
ZONE T = "Grid center vals ", I = 129 , J = 64, F=POINT 

0.99017 -0.0109399 0.0021873 -0.00524 0.385211 -0.922829 -0.0055173 -0.00264 -0.902052 -0.431627 -0.915385 -0.401208 0.479283 -0.871068
0.984382 -0.0138875 0.002318 -0.00644 0.338668 -0.940906 -0.006913 -0.00276 -0.928717 -0.370788 -0.937239 -0.347827 0.421159 -0.902407
0.977402 -0.0169527 0.002439 -0.0076 0.305571 -0.952169 -0.008297 -0.00285 -0.94576 -0.324866 -0.951492 -0.307107 0.378145 -0.922418
0.969257 -0.0201225 0.002551 -0.00875 0.27989 -0.960032 -0.00966 -0.00292 -0.957224 -0.289347 -0.961315 -0.275051 0.343905 -0.936525
0.959965 -0.0233853 0.002654 -0.00988 0.259427 -0.965763 -0.010996 -0.00297 -0.965405 -0.260754 -0.968374 -0.249219 0.316343 -0.946745
0.949553 -0.0267298 0.002747 -0.01098 0.242702 -0.970101 -0.012301 -0.00301 -0.971343 -0.237683 -0.973581 -0.228129 0.293592 -0.954447
0.938045 -0.0301435 0.002828 -0.01205 0.228481 -0.973548 -0.013572 -0.00304 -0.97582 -0.218575 -0.977693 -0.209851 0.273958 -0.960578
0.925473 -0.0336135 0.002898 -0.01309 0.216156 -0.976359 -0.014806 -0.00304 -0.979565 -0.201126 -0.981051 -0.193597 0.257158 -0.965438
0.911868 -0.037127 0.002955 -0.01411 0.204979 -0.978766 -0.016 -0.00303 -0.982537 -0.186068 -0.983695 -0.179727 0.242197 -0.969468
0.89726 -0.040671 0.003002 -0.01508 0.195241 -0.980755 -0.017154 -0.00302 -0.984854 -0.173386 -0.9859 -0.167218 0.228774 -0.97287
0.881685 -0.044232 0.003036 -0.01602 0.186199 -0.982512 -0.018262 -0.00298 -0.986946 -0.16105 -0.98786 -0.155238 0.216521 -0.975784
0.86518 -0.047796 0.003056 -0.01693 0.177637 -0.984096 -0.019322 -0.00292 -0.988773 -0.149426 -0.989513 -0.144353 0.205245 -0.978304
0.847788 -0.0513492 0.003064 -0.01779 0.169733 -0.98549 -0.020334 -0.00286 -0.990253 -0.13928 -0.99089 -0.134593 0.194791 -0.980512
0.829547 -0.054878 0.00306 -0.01861 0.162249 -0.98675 -0.021295 -0.00279 -0.991526 -0.129906 -0.992106 -0.125317 0.18486 -0.982496
0.8105 -0.0583685 0.003043 -0.01939 0.155039 -0.987908 -0.022201 -0.0027 -0.992686 -0.120727 -0.993192 -0.116405 0.175457 -0.984269
0.790695 -0.061807 0.003013 -0.02011 0.148172 -0.988962 -0.023051 -0.0026 -0.993699 -0.112083 -0.994166 -0.107769 0.166509 -0.985865
0.77018 -0.0651795 0.00297 -0.02079 0.141421 -0.989949 -0.023843 -0.00248 -0.994634 -0.103456 -0.995066 -0.0991228 0.157797 -0.987332
0.749003 -0.068472 0.002914 -0.02143 0.134738 -0.990881 -0.024575 -0.00234 -0.995497 -0.09479 -0.995844 -0.0909993 0.149361 -0.988672
0.727215 -0.0716708 0.002845 -0.022 0.12825 -0.991742 -0.025245 -0.00221 -0.99619 -0.0872086 -0.99653 -0.083129 0.141085 -0.989913
0.704868 -0.0747623 0.002764 -0.02253 0.121768 -0.992559 -0.025852 -0.00205 -0.996871 -0.0790494 -0.997172 -0.0750502 0.132922 -0.991063
0.682015 -0.0777328 0.002669 -0.023 0.11527 -0.993334 -0.026393 -0.00188 -0.997473 -0.071051 -0.997738 -0.0670985 0.124837 -0.99213
0.658715 -0.080568 0.00256 -0.02342 0.108661 -0.994079 -0.026868 -0.0017 -0.998004 -0.063146 -0.998228 -0.0593932 0.11672 -0.993132
0.635023 -0.0832545 0.00244 -0.02377 0.102114 -0.994773 -0.027276 -0.00152 -0.998451 -0.0556403 -0.998664 -0.0515134 0.108595 -0.994065
0.61099 -0.0857787 0.002305 -0.02408 0.095287 -0.99545 -0.027614 -0.00131 -0.998877 -0.0473864 -0.999057 -0.0432242 0.100312 -0.994943
0.586675 -0.088125 0.002156 -0.02433 0.088269 -0.996097 -0.027883 -0.00109 -0.999237 -0.0390621 -0.999379 -0.0350167 0.0917782 -0.995773
0.562142 -0.0902828 0.001995 -0.02451 0.0811271 -0.996704 -0.028077 -0.00087 -0.99952 -0.0309714 -0.999632 -0.0268254 0.0834526 -0.996509
0.53745 -0.0922363 0.001819 -0.02464 0.0736227 -0.997286 -0.028212 -0.00064 -0.999743 -0.0226795 -0.999821 -0.0184155 0.074286 -0.997237
0.512652 -0.0939713 0.001631 -0.02471 0.0658623 -0.997829 -0.028263 -0.0004 -0.9999 -0.0141514 -0.999943 -0.00973032 0.065315 -0.997865
0.487812 -0.0954788 0.001429 -0.02471 0.0577344 -0.998332 -0.028252 -0.00015 -0.999986 -0.00530928 -0.999988 -0.000524963 0.0558494 -0.998437
0.46299 -0.0967417 0.001213 -0.02467 0.0491097 -0.998793 -0.028173 0.00012 -0.999991 0.00425936 -0.999949 0.00890993 0.0457952 -0.998945
0.438245 -0.097749 0.000986 -0.02455 0.0401306 -0.999194 -0.02802 0.00038 -0.999908 0.0135605 -0.999813 0.0186457 0.0355633 -0.999357
0.413637 -0.0984872 0.000747 -0.02439 0.030613 -0.999531 -0.027804 0.00066 -0.999718 0.0237309 -0.999574 0.0287606 0.024429 -0.999682
0.389228 -0.0989478 0.000495 -0.02415 0.0204926 -0.99979 -0.027507 0.00093 -0.999429 0.0337903 -0.999211 0.0393304 0.013315 -0.999886
0.365075 -0.0991203 0.000235 -0.02387 0.00984452 -0.999952 -0.027162 0.00122 -0.998993 0.0448705 -0.998711 0.0504422 0.000988633 -0.99996
0.341235 -0.098995 -3.6e-05 -0.02352 -0.00153061 -0.999999 -0.026737 0.0015 -0.99843 0.0560139 -0.998045 0.0621955 -0.0114681 -0.999885
0.317767 -0.0985648 -0.000315 -0.02312 -0.0136233 -0.999907 -0.026263 0.0018 -0.99766 0.0683771 -0.997187 0.074688 -0.0251675 -0.999617
0.29473 -0.0978207 -0.000601 -0.02267 -0.0265015 -0.999649 -0.025718 0.00209 -0.996714 0.080999 -0.996146 0.0874664 -0.0393589 -0.999142
0.27218 -0.09676 -0.000892 -0.02214 -0.0402564 -0.999189 -0.025119 0.00237 -0.995578 0.0939337 -0.994837 0.101221 -0.0545827 -0.998406
