VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 129 , J = 64, F=POINT 

0.0512837 0.0426885 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 330.247 213073 -55676.1 1.03702e+08
0.0629285 0.0463825 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 336.833 213068 -60751.1 1.0577e+08
0.0756263 0.049874 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 342.041 212766 -65149.4 1.07405e+08
0.0893463 0.0531502 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 346.194 212258 -68993.7 1.08709e+08
0.104054 0.0561998 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 349.554 211613 -72406.8 1.09764e+08
0.119715 0.0590112 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 352.252 210836 -75412.2 1.10612e+08
0.136295 0.061575 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 354.469 210007 -78114.2 1.11308e+08
0.15375 0.0638835 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 356.309 209163 -80607.5 1.11886e+08
0.172035 0.0659297 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 357.812 208270 -82834.2 1.12357e+08
0.19111 0.0677088 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 359.033 207361 -84838.2 1.12741e+08
0.210928 0.0692175 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 360.071 206471 -86738.1 1.13067e+08
0.231442 0.070454 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 360.903 205569 -88432.4 1.13328e+08
0.252603 0.071419 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 361.584 204693 -89986.6 1.13542e+08
0.274352 0.072115 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 362.157 203842 -91463.2 1.13722e+08
0.296645 0.0725455 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 362.614 203012 -92798.1 1.13866e+08
0.319425 0.0727165 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 362.994 202220 -94087.4 1.13985e+08
0.342635 0.072635 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 363.307 201461 -95343.7 1.14083e+08
